model,dataset,episode_id,success,spl_full_suite,ndtw,sdtw,steps,path_length,termination
uninavid,rxr,5898,1,0.42496937812469787,0.538050816621889,0.538050816621889,16,2.5000008940696716,stop
uninavid,rxr,8632,0,0.0,0.44128730634476254,0.0,120,22.185347571969032,stop
uninavid,rxr,10353,0,0.0,0.27186910405176395,0.0,500,8.158290073275566,max_steps
uninavid,rxr,3154,0,0.0,0.4093852825988702,0.0,62,10.670544400811195,stop
uninavid,rxr,9064,1,1.0,0.9165165035122824,0.9165165035122824,29,5.126138612627983,stop
uninavid,rxr,2984,1,0.8457007073986563,0.8957823004890447,0.8957823004890447,76,5.136794328689575,stop
uninavid,rxr,9540,0,0.0,0.3843603230506106,0.0,255,12.51887665130198,stop
uninavid,rxr,667,0,0.0,0.6046912473987053,0.0,500,19.673730298876762,max_steps
uninavid,rxr,852,0,0.0,0.5166272826860322,0.0,500,9.800943300127983,max_steps
uninavid,rxr,5193,0,0.0,0.05427387265729184,0.0,500,34.86542731523514,max_steps
uninavid,rxr,1153,0,0.0,0.6295706158447483,0.0,45,5.230107977986336,stop
uninavid,rxr,1024,0,0.0,0.05171803732161221,0.0,495,24.46818344295025,stop
uninavid,rxr,8156,0,0.0,0.7698304589535483,0.0,102,16.714361235499382,stop
uninavid,rxr,5081,0,0.0,0.0678396361535118,0.0,451,17.8668677425012,stop
uninavid,rxr,10687,1,0.8895619362514552,0.8584315880815414,0.8584315880815414,67,12.223592847585678,stop
uninavid,rxr,4536,1,0.5667226113840771,0.6691286849572846,0.6691286849572846,31,6.352640330791473,stop
uninavid,rxr,3125,0,0.0,0.8612116771346792,0.0,129,11.973055511713028,stop
uninavid,rxr,10776,1,0.6790859230653286,0.5441655666531166,0.5441655666531166,63,4.967930257320404,stop
uninavid,rxr,2291,1,0.899695005778828,0.884442071531598,0.884442071531598,34,5.314230963587761,stop
uninavid,rxr,7733,0,0.0,0.25359490260514145,0.0,94,13.268337190151215,stop
uninavid,rxr,6022,1,0.9053001119037718,0.9504280055212249,0.9504280055212249,133,24.63028322160244,stop
uninavid,rxr,2182,0,0.0,0.5022660661769331,0.0,98,9.136054836213589,stop
uninavid,rxr,1520,0,0.0,0.7450303175986879,0.0,500,11.296633020043373,max_steps
uninavid,mp3d,b874dd5d292a56893f8f1f2d,0,0.0,,,500,2.745673606064628,max_steps
uninavid,mp3d,65a833e1eff761c105ee9341,0,0.0,,,500,0.36086572700125574,max_steps
uninavid,mp3d,8b5487caf55f1e522fa7541d,1,0.7513301182300118,,,40,7.713183498092433,stop
uninavid,mp3d,bb16cafc25611c30552523a2,0,0.0,,,61,5.824266817690304,stop
uninavid,mp3d,59bbfbfd8f513f58e77cbca4,0,0.0,,,161,24.540642614240607,stop
uninavid,mp3d,213e6efdbb79f89c90754602,0,0.0,,,23,5.002457863983973,stop
uninavid,mp3d,12db647d1a7e541b314450e7,0,0.0,,,9,2.0000303547569493,stop
uninavid,mp3d,c09ded3a8d5419e660039b64,0,0.0,,,15,2.500002687907805,stop
uninavid,mp3d,350e40ac74cb834f8516ed03,0,0.0,,,500,2.0484182064001266,max_steps
uninavid,mp3d,b1a28e8929f8f07b4cba53ba,0,0.0,,,500,10.675482593410974,max_steps
uninavid,mp3d,4e1b1981621cd500e1652491,0,0.0,,,21,4.2499814791676105,stop
uninavid,mp3d,b9b473c0438f6af91aab29dc,0,0.0,,,500,7.97501144816963,max_steps
uninavid,mp3d,a31411f9e9b786354e28f764,0,0.0,,,500,6.242202259376359,max_steps
uninavid,mp3d,7c494537c81616782cf9312f,0,0.0,,,151,13.190455213175714,stop
uninavid,mp3d,40f0bca4cbf1e04140b31aaa,0,0.0,,,500,10.850460419692423,max_steps
uninavid,mp3d,7cfc1789e75a6f70c5bcfad2,0,0.0,,,500,8.577493701370216,max_steps
uninavid,mp3d,a5762bd0e406a176ac6ed585,0,0.0,,,500,3.813168936257111,max_steps
uninavid,mp3d,1a62b46a8bddcdc5ff0391a9,0,0.0,,,500,5.056380705274885,max_steps
uninavid,mp3d,8d5674cfe54e2cb210fe4c5e,0,0.0,,,500,67.37589792657367,max_steps
uninavid,mp3d,d85d14e6f78f570f4ef30dc1,0,0.0,,,500,83.29081795860483,max_steps
uninavid,mp3d,33c5aeeec866328f56f08494,0,0.0,,,500,0.5271174861087277,max_steps
uninavid,mp3d,18447f371a9fa6fc03de1150,0,0.0,,,500,0.956225066754761,max_steps
uninavid,mp3d,17204bef602c7448c9eec902,1,0.5664478283614591,,,29,4.250002855772992,stop
uninavid,mp3d,1b545dc184e221cf8b35dcf9,0,0.0,,,500,0.3386869740953579,max_steps
uninavid,mp3d,77ecaea6266939d3f1f48db7,0,0.0,,,500,1.0676946869784767,max_steps
uninavid,mp3d,de3709d692cb32900a375891,0,0.0,,,500,14.63699314995097,max_steps
uninavid,mp3d,bb690d28e8f3171705eedf5e,0,0.0,,,500,13.066219031534581,max_steps
uninavid,mp3d,d36aa8471f1c762b245ce64c,0,0.0,,,1,0.0,stop
uninavid,mp3d,99ac6a3c3d6a2dea570be0f9,0,0.0,,,34,4.102019807981696,stop
uninavid,mp3d,f68dce3d6af12e65bbb880b5,0,0.0,,,500,6.816183567799514,max_steps
uninavid,mp3d,549c51dc0f03c599ad1f9ef8,0,0.0,,,500,0.2627479157542283,max_steps
uninavid,mp3d,1a6973823a6286dde0652423,0,0.0,,,7,0.5000045140324367,stop
uninavid,mp3d,cea90bf52bd39b7d144a1856,0,0.0,,,33,7.499994978340201,stop
uninavid,mp3d,a663b6f8fd76e030e9c93101,0,0.0,,,500,0.4520762367020172,max_steps
uninavid,mp3d,cb995b75746b57d93358623d,0,0.0,,,500,0.3398179857151449,max_steps
uninavid,mp3d,b0fbc943f9b4b683b5923537,1,0.9756605807038788,,,41,7.999997603601088,stop
uninavid,mp3d,82bab0c34ef7e4466c33febc,0,0.0,,,106,11.460344083486339,stop
uninavid,mp3d,b6defdd548e1dac72ffa3a48,0,0.0,,,500,30.871442794992312,max_steps
uninavid,mp3d,752a407317bb31624789056a,0,0.0,,,101,21.273084960263184,stop
uninavid,mp3d,5fdd5735e025699ecc13e443,0,0.0,,,500,0.4440118330309346,max_steps
